playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper,picked
2495867,null,Greg Jennings,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,0.5,0,0,2.5318,null,FALSE
2499248,null,Kris Durham,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2506004,null,Jerricho Cotchery,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,1,0,0,3.3064,null,FALSE
2506222,null,Josh Cribbs,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,1,0,0,3.0117,null,FALSE
2506287,null,Lance Moore,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,0,0,0,3.0471,null,FALSE
2506366,null,Roddy White,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,0.5,0,0,6.6114,null,FALSE
2506885,null,Santonio Holmes,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,1,0,0,2.9645,null,FALSE
2507884,null,David Nelson,WR,PIT,WR,PIT,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2508048,null,Mike Williams,WR,KC,WR,KC,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,2.4434,null,FALSE
2508115,null,Vincent Brown,WR,NO,WR,NO,-123.1625,0,null,null,538,226,null,null,0,null,null,0.5,0,0,2.467,null,FALSE
2530575,null,Drew Davis,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2532799,null,Jarrett Boykin,WR,BUF,WR,BUF,-123.1625,0,null,null,538,226,null,null,0,null,null,1,0,0,1.8397,null,FALSE
2532802,null,LaVon Brazill,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2532807,null,Ryan Broyles,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,3.4833,null,FALSE
2532809,null,LaRon Byrd,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2532823,null,Juron Criner,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,3.389,null,FALSE
2532850,null,T.J. Graham,WR,PHI,WR,PHI,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,2.5082,null,FALSE
2532862,null,Junior Hemingway,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2532876,null,A.J. Jenkins,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,3.0589,null,FALSE
2532923,null,Chris Owusu,WR,NYJ,WR,NYJ,-123.1625,0,null,null,538,226,null,null,0,null,null,0,0,0,1.8397,null,FALSE
2532960,null,Nick Toon,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,0,0,0,null,null,FALSE
2533038,null,Justin Blackmon,WR,JAC,WR,JAC,-123.1625,0,null,null,538,226,null,null,0,null,null,0,0,0,2.4493,null,FALSE
2535522,null,Brian Tyms,WR,IND,WR,IND,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,1.8397,null,FALSE
2535681,null,Nathan Palmer,WR,CHI,WR,CHI,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2535716,null,Saalim Hakim,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2535882,null,Mike Brown,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2536031,null,Damaris Johnson,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,10,0,0,1.8397,null,FALSE
2539203,null,Cobi Hamilton,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2539235,null,Tavarres King,WR,NYG,WR,NYG,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,1.8397,null,FALSE
2539246,null,Chris Harper,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
2539256,null,Aaron Dobson,WR,NE,WR,NE,-123.1625,0,null,null,538,226,null,null,0,null,null,0.3333,0,0,5.273,null,FALSE
2539674,null,Rodney Smith,WR,FA,WR,FA,-123.1625,0,null,null,538,226,null,null,0,null,null,null,0,0,null,null,FALSE
